啊哈	a'ha
库存	ku'cun
库尔曼	ku'er'man
库尔斯克	ku'er'si'ke
库房	ku'fang
库仑	ku'lun
库仑定律	ku'lun'ding'lv
库容	ku'rong
裤脚	ku'jiao
裤腿	ku'tui
裤腰	ku'yao
裤子	ku'zi
夸大	kua'da
夸奖	kua'jiang
夸口	kua'kou
夸脱	kua'tuo
夸耀	kua'yao
夸张	kua'zhang
垮台	kua'tai
挎包	kua'bao
跨度	kua'du
跨国公司	kua'guo'gong'si
跨过	kua'guo
跨栏	kua'lan
跨台	kua'tai
跨越	kua'yue
块儿	kuai'er
块根	kuai'gen
块茎	kuai'jing
块块	kuai'kuai
块煤	kuai'mei
块状	kuai'zhuang
筷子	kuai'zi
快板	kuai'ban
快报	kuai'bao
快步	kuai'bu
快餐	kuai'can
快餐面	kuai'can'mian
快车	kuai'che
快到	kuai'dao
快干	kuai'gan
快感	kuai'gan
快攻	kuai'gong
快活	kuai'huo
快快	kuai'kuai
快乐	kuai'le
快马	kuai'ma
快慢	kuai'man
快门	kuai'men
快事	kuai'shi
快速	kuai'su
快艇	kuai'ting
快要	kuai'yao
快意	kuai'yi
快中子	kuai'zhong'zi
宽敞	kuan'chang
宽大	kuan'da
宽度	kuan'du
宽广	kuan'guang
宽厚	kuan'hou
宽阔	kuan'kuo
宽容	kuan'rong
宽恕	kuan'shu
宽慰	kuan'wei
宽限	kuan'xian
宽行	kuan'xing
宽裕	kuan'yu
宽窄	kuan'zhai
款待	kuan'dai
款额	kuan'e
款项	kuan'xiang
款子	kuan'zi
匡复	kuang'fu
筐子	kuang'zi
狂暴	kuang'bao
狂风	kuang'feng
狂风暴雨	kuang'feng'bao'yu
狂呼	kuang'hu
狂欢	kuang'huan
狂澜	kuang'lan
狂怒	kuang'nu
狂热	kuang're
狂人	kuang'ren
狂人日记	kuang'ren'ri'ji
狂妄	kuang'wang
狂喜	kuang'xi
狂笑	kuang'xiao
狂言	kuang'yan
框架	kuang'jia
框框	kuang'kuang
框图	kuang'tu
框子	kuang'zi
矿层	kuang'ceng
矿产	kuang'chan
矿产资源	kuang'chan'zi'yuan
矿长	kuang'chang
矿长	kuang'zhang
矿车	kuang'che
矿床	kuang'chuang
矿房	kuang'fang
矿工	kuang'gong
矿浆	kuang'jiang
矿井	kuang'jing
矿坑	kuang'keng
矿脉	kuang'mai
矿泥	kuang'ni
矿区	kuang'qu
矿泉	kuang'quan
矿砂	kuang'sha
矿山	kuang'shan
矿山压力	kuang'shan'ya'li
矿石	kuang'shi
矿体	kuang'ti
矿体厚度	kuang'ti'hou'du
矿物	kuang'wu
矿物学	kuang'wu'xue
矿物油	kuang'wu'you
矿物质	kuang'wu'zhi
矿物质饲料	kuang'wu'zhi'si'liao
矿业	kuang'ye
矿渣	kuang'zha
矿质	kuang'zhi
矿柱	kuang'zhu
旷工	kuang'gong
旷课	kuang'ke
旷日	kuang'ri
旷野	kuang'ye
况且	kuang'qie
亏本	kui'ben
亏空	kui'kong
亏损	kui'sun
亏心	kui'xin
盔甲	kui'jia
窥测	kui'ce
窥视	kui'shi
窥伺	kui'si
葵花	kui'hua
魁祸	kui'huo
魁首	kui'shou
魁伟	kui'wei
魁梧	kui'wu
馈送	kui'song
馈赠	kui'zeng
愧恨	kui'hen
溃败	kui'bai
溃烂	kui'lan
溃散	kui'san
溃退	kui'tui
溃疡	kui'yang
昆虫	kun'chong
昆虫学	kun'chong'xue
昆仑	kun'lun
昆明	kun'ming
昆明市	kun'ming'shi
昆曲	kun'qu
昆阳	kun'yang
捆绑	kun'bang
捆住	kun'zhu
困乏	kun'fa
困惑	kun'huo
困境	kun'jing
困倦	kun'juan
困苦	kun'ku
困难	kun'nan
括号	kuo'hao
括弧	kuo'hu
扩编	kuo'bian
扩充	kuo'chong
扩大	kuo'da
扩大化	kuo'da'hua
扩大会议	kuo'da'hui'yi
扩大再生产	kuo'da'zai'sheng'chan
扩建	kuo'jian
扩军	kuo'jun
扩军备战	kuo'jun'bei'zhan
扩孔	kuo'kong
扩容	kuo'rong
扩散	kuo'san
扩音	kuo'yin
扩音机	kuo'yin'ji
扩音器	kuo'yin'qi
扩展	kuo'zhan
扩张	kuo'zhang
阔别	kuo'bie
阔步	kuo'bu
阔气	kuo'qi
阔叶林	kuo'ye'lin
阔叶树	kuo'ye'shu
垃圾	la'ji
拉奥孔	la'ao'kong
拉巴	la'ba
拉巴斯	la'ba'si
拉巴特	la'ba'te
拉长	la'chang
拉车	la'che
拉扯	la'che
拉倒	la'dao
拉德	la'de
拉得	la'de
拉丁	la'ding
拉丁美洲	la'ding'mei'zhou
拉丁文	la'ding'wen
拉丁字母	la'ding'zi'mu
拉多	la'duo
拉夫	la'fu
拉幅	la'fu
拉杆	la'gan
拉各斯	la'ge'si
拉关系	la'guan'xi
拉管	la'guan
拉簧	la'huang
拉开	la'kai
拉力	la'li
拉链	la'lian
拉拢	la'long
拉美	la'mei
拉平	la'ping
拉萨	la'sa
拉萨尔	la'sa'er
拉萨市	la'sa'shi
拉伸	la'shen
拉屎	la'shi
拉手	la'shou
拉丝	la'si
拉瓦锡	la'wa'xi
拉稀	la'xi
拉纤	la'qian
拉制	la'zhi
喇叭	la'ba
喇叭口	la'ba'kou
喇嘛	la'ma
蜡版	la'ban
蜡笔	la'bi
蜡纸	la'zhi
蜡烛	la'zhu
腊梅	la'mei
腊斯克	la'si'ke
腊月	la'yue
腊子口	la'zi'kou
辣酱	la'jiang
辣椒	la'jiao
莱特	lai'te
莱辛	lai'xin
莱阳	lai'yang
莱茵河	lai'yin'he
来安	lai'an
来宾	lai'bin
来不及	lai'bu'ji
来到	lai'dao
来得	lai'de
来得及	lai'de'ji
来电	lai'dian
来犯	lai'fan
来访	lai'fang
来复	lai'fu
来稿	lai'gao
来归	lai'gui
来过	lai'guo
来函	lai'han
来回	lai'hui
来讲	lai'jiang
来京	lai'jing
来看	lai'kan
来客	lai'ke
来来往往	lai'lai'wang'wang
来历	lai'li
来临	lai'lin
来龙去脉	lai'long'qu'mai
来路	lai'lu
来没	lai'mei
来年	lai'nian
来去	lai'qu
来人	lai'ren
来人来函	lai'ren'lai'han
来日	lai'ri
来日方长	lai'ri'fang'chang
来生	lai'sheng
来世	lai'shi
来势	lai'shi
来书	lai'shu
来说	lai'shuo
来体	lai'ti
来往	lai'wang
来信	lai'xin
来意	lai'yi
来由	lai'you
来源	lai'yuan
来照	lai'zhao
来者	lai'zhe
来者不拒	lai'zhe'bu'ju
来之不易	lai'zhi'bu'yi
来抓	lai'zhua
来自	lai'zi
赖氨酸	lai'an'suan
赖汉英	lai'han'ying
赖皮	lai'pi
赖帐	lai'zhang
蓝本	lan'ben
蓝布	lan'bu
蓝靛	lan'dian
蓝领	lan'ling
蓝色	lan'se
蓝天	lan'tian
蓝图	lan'tu
蓝藻	lan'zao
栏杆	lan'gan
栏目	lan'mu
拦河	lan'he
拦河坝	lan'he'ba
拦截	lan'jie
拦路	lan'lu
拦路虎	lan'lu'hu
拦网	lan'wang
拦腰	lan'yao
拦住	lan'zhu
拦阻	lan'zu
篮球	lan'qiu
篮子	lan'zi
阑珊	lan'shan
阑尾	lan'wei
兰花	lan'hua
兰考	lan'kao
兰斯	lan'si
兰溪	lan'xi
兰新铁路	lan'xin'tie'lu
兰州	lan'zhou
兰州市	lan'zhou'shi
澜沧江	lan'cang'jiang
览子	lan'zi
懒得	lan'de
懒惰	lan'duo
懒汉	lan'han
懒散	lan'san
懒洋洋	lan'yang'yang
缆车	lan'che
缆绳	lan'sheng
烂漫	lan'man
烂泥	lan'ni
滥伐	lan'fa
滥用	lan'yong
琅琊	lang'ya
榔槺	lang'kang
榔头	lang'tou
狼狈	lang'bei
狼狈不堪	lang'bei'bu'kan
狼狈为奸	lang'bei'wei'jian
狼狗	lang'gou
廊坊	lang'fang
郎中	lang'zhong
朗读	lang'du
朗格	lang'ge
朗朗	lang'lang
朗诵	lang'song
浪潮	lang'chao
浪费	lang'fei
浪花	lang'hua
浪漫	lang'man
浪漫主义	lang'man'zhu'yi
浪涛	lang'tao
浪头	lang'tou
捞取	lao'qu
劳保	lao'bao
劳动	lao'dong
劳动保护	lao'dong'bao'hu
劳动保险	lao'dong'bao'xian
劳动产品	lao'dong'chan'pin
劳动定额	lao'dong'ding'e
劳动对象	lao'dong'dui'xiang
劳动法	lao'dong'fa
劳动改造	lao'dong'gai'zao
劳动工分	lao'dong'gong'fen
劳动工具	lao'dong'gong'ju
劳动过程	lao'dong'guo'cheng
劳动化	lao'dong'hua
劳动纪律	lao'dong'ji'lv
劳动竞赛	lao'dong'jing'sai
劳动力	lao'dong'li
劳动量	lao'dong'liang
劳动模范	lao'dong'mo'fan
劳动强度	lao'dong'qiang'du
劳动群众	lao'dong'qun'zhong
劳动人民	lao'dong'ren'min
劳动日	lao'dong'ri
劳动生产	lao'dong'sheng'chan
劳动生产力	lao'dong'sheng'chan'li
劳动时间	lao'dong'shi'jian
劳动条件	lao'dong'tiao'jian
劳动新闻	lao'dong'xin'wen
劳动英雄	lao'dong'ying'xiong
劳动者	lao'dong'zhe
劳动致富	lao'dong'zhi'fu
劳动资料	lao'dong'zi'liao
劳改	lao'gai
劳工	lao'gong
劳驾	lao'jia
劳苦	lao'ku
劳累	lao'lei
劳力	lao'li
劳伦斯	lao'lun'si
劳模	lao'mo
劳务	lao'wu
劳心者治人	lao'xin'zhe'zhi'ren
劳役	lao'yi
劳役地租	lao'yi'di'zu
劳逸结合	lao'yi'jie'he
劳资	lao'zi
劳作	lao'zuo
牢不可破	lao'bu'ke'po
牢房	lao'fang
牢固	lao'gu
牢记	lao'ji
牢靠	lao'kao
牢牢	lao'lao
牢笼	lao'long
牢骚	lao'sao
牢狱	lao'yu
老百姓	lao'bai'xing
老板	lao'ban
老伴	lao'ban
老伴儿	lao'ban'er
老辈	lao'bei
老兵	lao'bing
老财	lao'cai
老长	lao'chang
老成	lao'cheng
老大	lao'da
老大难	lao'da'nan
老大娘	lao'da'niang
老大爷	lao'da'ye
老道	lao'dao
老底	lao'di
老弟	lao'di
老爹	lao'die
老夫	lao'fu
老干部	lao'gan'bu
老高	lao'gao
老公	lao'gong
老规矩	lao'gui'ju
老汉	lao'han
老虎	lao'hu
老花眼	lao'hua'yan
老化	lao'hua
老话	lao'hua
老黄牛	lao'huang'niu
老家	lao'jia
老将	lao'jiang
老酒	lao'jiu
老老	lao'lao
老老实实	lao'lao'shi'shi
老练	lao'lian
老了	lao'le
老林	lao'lin
老路	lao'lu
老妈子	lao'ma'zi
老迈	lao'mai
老毛病	lao'mao'bing
老命	lao'ming
老奶奶	lao'nai'nai
老年	lao'nian
老娘	lao'niang
老农	lao'nong
老牌	lao'pai
老婆	lao'po
老婆婆	lao'po'po
老婆子	lao'po'zi
老气	lao'qi
老前辈	lao'qian'bei
老区	lao'qu
老人	lao'ren
老人家	lao'ren'jia
老弱	lao'ruo
老少	lao'shao
老少爷们	lao'shao'ye'men
老舍	lao'she
老生常谈	lao'sheng'chang'tan
老师	lao'shi
老师傅	lao'shi'fu
老实	lao'shi
老式	lao'shi
老是	lao'shi
老手	lao'shou
老叔	lao'shu
老鼠	lao'shu
老说	lao'shuo
老太婆	lao'tai'po
老太太	lao'tai'tai
老太爷	lao'tai'ye
老天爷	lao'tian'ye
老头	lao'tou
老头儿	lao'tou'er
老头子	lao'tou'zi
老王	lao'wang
老翁	lao'weng
老挝	lao'wo
老先生	lao'xian'sheng
老乡	lao'xiang
老小	lao'xiao
老兄	lao'xiong
老朽	lao'xiu
老爷	lao'ye
老爷爷	lao'ye'ye
老爷子	lao'ye'zi
老一辈	lao'yi'bei
老一套	lao'yi'tao
老鹰	lao'ying
老营	lao'ying
老友	lao'you
老远	lao'yuan
老早	lao'zao
老者	lao'zhe
老中青	lao'zhong'qing
老子	lao'zi
老总	lao'zong
老祖宗	lao'zu'zong
老幺	lao'yao
姥姥	lao'lao
酪氨酸	lao'an'suan
酪酸	lao'suan
烙饼	lao'bing
烙铁	lao'tie
烙印	lao'yin
涝灾	lao'zai
勒紧	le'jin
勒令	le'ling
勒索	le'suo
乐不思蜀	le'bu'si'shu
乐此不疲	le'ci'bu'pi
乐得	le'de
乐段	le'duan
乐段	yue'duan
乐队	le'dui
乐队	yue'dui
乐府	le'fu
乐府	yue'fu
乐观	le'guan
乐句	le'ju
乐句	yue'ju
乐谱	le'pu
乐谱	yue'pu
乐器	le'qi
乐器	yue'qi
乐曲	le'qu
乐曲	yue'qu
乐趣	le'qu
乐山	le'shan
乐天	le'tian
乐土	le'tu
乐团	yue'tuan
乐意	le'yi
乐音	le'yin
乐音	yue'yin
乐于	le'yu
乐园	le'yuan
乐章	yue'zhang
雷暴	lei'bao
雷达	lei'da
雷电	lei'dian
雷动	lei'dong
雷峰塔	lei'feng'ta
雷锋	lei'feng
雷管	lei'guan
雷击	lei'ji
雷利	lei'li
雷鸣	lei'ming
雷诺	lei'nuo
雷诺数	lei'nuo'shu
雷声	lei'sheng
雷同	lei'tong
雷雨	lei'yu
雷雨云	lei'yu'yun
雷阵雨	lei'zhen'yu
雷州半岛	lei'zhou'ban'dao
雷霆	lei'ting
镭射	lei'she
蕾铃	lei'ling
磊落	lei'luo
累次	lei'ci
累得	lei'de
累犯	lei'fan
累积	lei'ji
累计	lei'ji
累加	lei'jia
累加器	lei'jia'qi
累减	lei'jian
累进	lei'jin
累累	lei'lei
累死	lei'si
累月	lei'yue
累赘	lei'zhui
垒球	lei'qiu
擂台	lei'tai
类比	lei'bi
类别	lei'bie
类次	lei'ci
类经	lei'jing
类人猿	lei'ren'yuan
类似	lei'si
类推	lei'tui
类星体	lei'xing'ti
类型	lei'xing
泪痕	lei'hen
泪花	lei'hua
泪流	lei'liu
泪水	lei'shui
泪眼	lei'yan
泪珠	lei'zhu
楞次定律	leng'ci'ding'lv
楞住	leng'zhu
冷冰冰	leng'bing'bing
冷淡	leng'dan
冷冻	leng'dong
冷风	leng'feng
冷光	leng'guang
冷汗	leng'han
冷加工	leng'jia'gong
冷静	leng'jing
冷酷	leng'ku
冷库	leng'ku
冷冷的	leng'leng'de
冷冷清清	leng'leng'qing'qing
冷落	leng'luo
冷漠	leng'mo
冷凝	leng'ning
冷暖	leng'nuan
冷气	leng'qi
冷却	leng'que
冷却器	leng'que'qi
冷杉	leng'shan
冷水	leng'shui
冷天	leng'tian
冷笑	leng'xiao
冷饮	leng'yin
冷遇	leng'yu
冷战	leng'zhan
冷作	leng'zuo
厘金	li'jin
厘米	li'mi
厘升	li'sheng
梨树	li'shu
梨园	li'yuan
犁地	li'di
犁田	li'tian
犁铧	li'hua
黎巴嫩	li'ba'nen
黎明	li'ming
黎元洪	li'yuan'hong
黎族	li'zu
篱笆	li'ba
离别	li'bie
离合	li'he
离合器	li'he'qi
离婚	li'hun
离家	li'jia
离间	li'jian
离解	li'jie
离开	li'kai
离去	li'qu
离散	li'san
离析	li'xi
离弦	li'xian
离心	li'xin
离心机	li'xin'ji
离心力	li'xin'li
离休	li'xiu
离职	li'zhi
离子	li'zi
离子交换	li'zi'jiao'huan
漓江	li'jiang
理财	li'cai
理睬	li'cai
理当	li'dang
理发	li'fa
理化	li'hua
理会	li'hui
理解	li'jie
理解力	li'jie'li
理科	li'ke
理疗	li'liao
理论	li'lun
理念	li'nian
理事	li'shi
理事长	li'shi'zhang
理事会	li'shi'hui
理所当然	li'suo'dang'ran
理想	li'xiang
理想主义	li'xiang'zhu'yi
理想主义者	li'xiang'zhu'yi'zhe
理性	li'xing
理性认识	li'xing'ren'shi
理学	li'xue
理学士	li'xue'shi
理应	li'ying
理由	li'you
理直气壮	li'zhi'qi'zhuang
理智	li'zhi
李昂	li'ang
李白	li'bai
李超	li'chao
李闯王	li'chuang'wang
李村	li'cun
李大钊	li'da'zhao
李德	li'de
李耳	li'er
李富春	li'fu'chun
李纲	li'gang
李鸿章	li'hong'zhang
李洪志	li'hong'zhi
李嘉图	li'jia'tu
李家	li'jia
李密	li'mi
李鹏	li'peng
李时珍	li'shi'zhen
李世民	li'shi'min
李顺	li'shun
李斯	li'si
李文成	li'wen'cheng
李文学	li'wen'xue
李香君	li'xiang'jun
李秀成	li'xiu'cheng
李岩	li'yan
李玉	li'yu
李渊	li'yuan
李子	li'zi
李自成	li'zi'cheng
李纨	li'wan
李贽	li'zhi
李煜	li'yu
里昂	li'ang
里边	li'bian
里程	li'cheng
里程碑	li'cheng'bei
里带	li'dai
里根	li'gen
里海	li'hai
里脊	li'ji
里加	li'jia
里间	li'jian
里拉	li'la
里里外外	li'li'wai'wai
里面	li'mian
里弄	li'nong
里人	li'ren
里斯	li'si
里通	li'tong
里头	li'tou
里屋	li'wu
里弦	li'xian
里应外合	li'ying'wai'he
里约热内卢	li'yue're'nei'lu
鲤鱼	li'yu
礼拜	li'bai
礼拜六派	li'bai'liu'pai
礼宾司	li'bin'si
礼部	li'bu
礼法	li'fa
礼服	li'fu
礼花	li'hua
礼记	li'ji
礼教	li'jiao
礼节	li'jie
礼貌	li'mao
礼品	li'pin
礼让	li'rang
礼堂	li'tang
礼物	li'wu
礼仪	li'yi
荔枝	li'zhi
吏部	li'bu
吏治	li'zhi
栗子	li'zi
厉害	li'hai
厉声	li'sheng
厉行	li'xing
厉行节约	li'xing'jie'yue
励磁机	li'ci'ji
历程	li'cheng
历次	li'ci
历代	li'dai
历法	li'fa
历届	li'jie
历尽	li'jin
历来	li'lai
历历	li'li
历年	li'nian
历任	li'ren
历时	li'shi
历史	li'shi
历史潮流	li'shi'chao'liu
历史剧	li'shi'ju
历史性	li'shi'xing
历史意义	li'shi'yi'yi
历史渊源	li'shi'yuan'yuan
历书	li'shu
历数	li'shu
历月	li'yue
利比里亚	li'bi'li'ya
利比亚	li'bi'ya
利弊	li'bi
利滚利	li'gun'li
利害	li'hai
利己	li'ji
利己主义	li'ji'zhu'yi
利剑	li'jian
利落	li'luo
利玛窦	li'ma'dou
利马	li'ma
利民	li'min
利器	li'qi
利权	li'quan
利刃	li'ren
利润	li'run
利润留成	li'run'liu'cheng
利税	li'shui
利索	li'suo
利息	li'xi
利雅得	li'ya'de
利益	li'yi
利用	li'yong
利用系数	li'yong'xi'shu
利诱	li'you
利于	li'yu
利嗦	li'suo
例如	li'ru
例题	li'ti
例外	li'wai
例行	li'xing
例行公事	li'xing'gong'shi
例证	li'zheng
例子	li'zi
痢疾	li'ji
立案	li'an
立场	li'chang
立春	li'chun
立地	li'di
立地条件	li'di'tiao'jian
立定	li'ding
立冬	li'dong
立法	li'fa
立法机关	li'fa'ji'guan
立法权	li'fa'quan
立方	li'fang
立方根	li'fang'gen
立方体	li'fang'ti
立功	li'gong
立国	li'guo
立即	li'ji
立交	li'jiao
立井	li'jing
立刻	li'ke
立枯病	li'ku'bing
立论	li'lun
立面图	li'mian'tu
立木	li'mu
立秋	li'qiu
立时	li'shi
立式	li'shi
立嗣	li'si
立体	li'ti
立体几何	li'ti'ji'he
立体声	li'ti'sheng
立体图	li'ti'tu
立夏	li'xia
立宪	li'xian
立宪民主党	li'xian'min'zhu'dang
立宪派	li'xian'pai
立宪运动	li'xian'yun'dong
立新	li'xin
立言	li'yan
立意	li'yi
立于	li'yu
立于不败之地	li'yu'bu'bai'zhi'di
立正	li'zheng
立志	li'zhi
立轴	li'zhou
立柱	li'zhu
立足	li'zu
立足点	li'zu'dian
粒度	li'du
粒径	li'jing
粒选	li'xuan
粒状	li'zhuang
粒子	li'zi
沥青	li'qing
隶农	li'nong
隶书	li'shu
隶属	li'shu
力臂	li'bi
力不从心	li'bu'cong'xin
力场	li'chang
力点	li'dian
力度	li'du
力多边形	li'duo'bian'xing
力疾	li'ji
力矩	li'ju
力量	li'liang
力量对比	li'liang'dui'bi
力偶	li'ou
力气	li'qi
力求	li'qiu
力所能及	li'suo'neng'ji
力图	li'tu
力系	li'xi
力行	li'xing
力学	li'xue
力役	li'yi
力战	li'zhan
力争	li'zheng
力争上游	li'zheng'shang'you
力主	li'zhu
联邦	lian'bang
联苯	lian'ben
联播	lian'bo
联大	lian'da
联防	lian'fang
联共	lian'gong
联贯	lian'guan
联合	lian'he
联合公报	lian'he'gong'bao
联合国	lian'he'guo
联合国宪章	lian'he'guo'xian'zhang
联合会	lian'he'hui
联合机	lian'he'ji
联合声明	lian'he'sheng'ming
联合收割机	lian'he'shou'ge'ji
联合体	lian'he'ti
联合政府	lian'he'zheng'fu
联合制	lian'he'zhi
联欢	lian'huan
联机	lian'ji
联接	lian'jie
联结	lian'jie
联军	lian'jun
联络	lian'luo
联盟	lian'meng
联绵不断	lian'mian'bu'duan
联名	lian'ming
联赛	lian'sai
联锁	lian'suo
联网	lian'wang
联席会议	lian'xi'hui'yi
联系	lian'xi
联系国	lian'xi'guo
联系群众	lian'xi'qun'zhong
联系人	lian'xi'ren
联系实际	lian'xi'shi'ji
联想	lian'xiang
联想字典	lian'xiang'zi'dian
联言判断	lian'yan'pan'duan
联营	lian'ying
联运	lian'yun
联轴节	lian'zhou'jie
联轴器	lian'zhou'qi
联组	lian'zu
莲花	lian'hua
莲蓬	lian'peng
莲子	lian'zi
连长	lian'chang
连长	lian'zhang
连乘	lian'cheng
连串	lian'chuan
连词	lian'ci
连打	lian'da
连带	lian'dai
连队	lian'dui
连发	lian'fa
连杆	lian'gan
连杆机构	lian'gan'ji'gou
连贯	lian'guan
连锅端	lian'guo'duan
连环	lian'huan
连环画	lian'huan'hua
连接	lian'jie
连累	lian'lei
连连	lian'lian
连忙	lian'mang
连绵	lian'mian
连年	lian'nian
连排	lian'pai
连皮	lian'pi
连篇	lian'pian
连任	lian'ren
连日	lian'ri
连声	lian'sheng
连锁	lian'suo
连锁反应	lian'suo'fan'ying
连天	lian'tian
连通	lian'tong
连通器	lian'tong'qi
连同	lian'tong
连写	lian'xie
连心	lian'xin
连续	lian'xu
连续光谱	lian'xu'guang'pu
连续函数	lian'xu'han'shu
连续生产	lian'xu'sheng'chan
连夜	lian'ye
连音	lian'yin
连用	lian'yong
连云港	lian'yun'gang
连载	lian'zai
连作	lian'zuo
连坐	lian'zuo
镰刀	lian'dao
廉耻	lian'chi
廉价	lian'jia
廉洁	lian'jie
怜悯	lian'min
帘子	lian'zi
帘子线	lian'zi'xian
脸不红	lian'bu'hong
脸蛋	lian'dan
脸红	lian'hong
脸颊	lian'jia
脸面	lian'mian
脸庞	lian'pang
脸盆	lian'pen
脸皮	lian'pi
脸谱	lian'pu
脸色	lian'se
脸子	lian'zi
链接	lian'jie
链轮	lian'lun
链球	lian'qiu
链球菌	lian'qiu'jun
链式	lian'shi
链式反应	lian'shi'fan'ying
链条	lian'tiao
链子	lian'zi
恋爱	lian'ai
炼丹	lian'dan
炼钢	lian'gang
炼焦	lian'jiao
炼乳	lian'ru
炼铁	lian'tie
炼铁炉	lian'tie'lu
炼油	lian'you
炼制	lian'zhi
练兵	lian'bing
练功	lian'gong
练就	lian'jiu
练武	lian'wu
练习	lian'xi
练习曲	lian'xi'qu
粮仓	liang'cang
粮草	liang'cao
粮店	liang'dian
粮库	liang'ku
粮票	liang'piao
粮食	liang'shi
粮食作物	liang'shi'zuo'wu
粮饷	liang'xiang
凉茶	liang'cha
凉风	liang'feng
凉快	liang'kuai
凉了	liang'le
凉山	liang'shan
凉爽	liang'shuang
凉水	liang'shui
凉鞋	liang'xie
梁启超	liang'qi'chao
梁山	liang'shan
梁书	liang'shu
梁武帝	liang'wu'di
良好	liang'hao
良机	liang'ji
良久	liang'jiu
良民	liang'min
良人	liang'ren
良师益友	liang'shi'yi'you
良田	liang'tian
良心	liang'xin
良性	liang'xing
良药	liang'yao
良友	liang'you
良知	liang'zhi
良种	liang'zhong
良窳	liang'yu
两霸	liang'ba
两班	liang'ban
两边	liang'bian
两端	liang'duan
两方	liang'fang
两个	liang'ge
两广	liang'guang
两国	liang'guo
两汉	liang'han
两河	liang'he
两湖	liang'hu
两淮	liang'huai
两回事	liang'hui'shi
两极	liang'ji
两极分化	liang'ji'fen'hua
两江	liang'jiang
两脚规	liang'jiao'gui
两晋	liang'jin
两口子	liang'kou'zi
两块	liang'kuai
两类	liang'lei
两利	liang'li
两立	liang'li
两码事	liang'ma'shi
两面	liang'mian
两面派	liang'mian'pai
两面三刀	liang'mian'san'dao
两面性	liang'mian'xing
两年	liang'nian
两排	liang'pai
两潘	liang'pan
两旁	liang'pang
两栖	liang'qi
两千	liang'qian
两求	liang'qiu
两审终审制	liang'shen'zhong'shen'zhi
两手	liang'shou
两条	liang'tiao
两条道路	liang'tiao'dao'lu
两条腿走路	liang'tiao'tui'zou'lu
两头	liang'tou
两相	liang'xiang
两性	liang'xing
两样	liang'yang
两伊	liang'yi
两翼	liang'yi
两用	liang'yong
两造	liang'zao
两者	liang'zhe
两只	liang'zhi
两种	liang'zhong
两重	liang'chong
两重	liang'zhong
两重性	liang'zhong'xing
两鬓	liang'bin
量变	liang'bian
量程	liang'cheng
量词	liang'ci
量度	liang'du
量纲	liang'gang
量规	liang'gui
量角器	liang'jiao'qi
量具	liang'ju
量控	liang'kong
量力	liang'li
量力而行	liang'li'er'xing
量器	liang'qi
量热器	liang're'qi
量筒	liang'tong
量刑	liang'xing
量子	liang'zi
量子力学	liang'zi'li'xue
晾干	liang'gan
晾晒	liang'shai
亮度	liang'du
亮光	liang'guang
亮晶晶	liang'jing'jing
亮堂	liang'tang
亮相	liang'xiang
谅解	liang'jie
聊天	liao'tian
聊以自娱	liao'yi'zi'yu
疗程	liao'cheng
疗法	liao'fa
疗效	liao'xiao
疗养	liao'yang
疗养院	liao'yang'yuan
燎原	liao'yuan
寥寥	liao'liao
辽东	liao'dong
辽东半岛	liao'dong'ban'dao
辽河	liao'he
辽阔	liao'kuo
辽宁	liao'ning
辽宁省	liao'ning'sheng
辽西	liao'xi
辽阳	liao'yang
了不得	liao'bu'de
了不起	liao'bu'qi
了得	liao'de
了结	liao'jie
了解	liao'jie
了解情况	liao'jie'qing'kuang
了如指掌	liao'ru'zhi'zhang
了事	liao'shi
了望	liao'wang
镣铐	liao'kao
料车	liao'che
料到	liao'dao
料斗	liao'dou
料酒	liao'jiu
料理	liao'li
料量	liao'liang
料器	liao'qi
料想	liao'xiang
料子	liao'zi
列表	lie'biao
列车	lie'che
列出	lie'chu
列传	lie'zhuan
列队	lie'dui
列夫	lie'fu
列国	lie'guo
列举	lie'ju
列宁	lie'ning
列宁格勒	lie'ning'ge'le
列宁全集	lie'ning'quan'ji
列宁选集	lie'ning'xuan'ji
列宁主义	lie'ning'zhu'yi
列强	lie'qiang
列入	lie'ru
列为	lie'wei
列席	lie'xi
列子	lie'zi
裂变	lie'bian
裂缝	lie'feng
裂痕	lie'hen
裂化	lie'hua
裂解	lie'jie
裂解气	lie'jie'qi
裂开	lie'kai
裂口	lie'kou
裂片	lie'pian
裂纹	lie'wen
裂隙	lie'xi
烈火	lie'huo
烈女	lie'nv
烈日	lie'ri
烈士	lie'shi
烈士陵园	lie'shi'ling'yuan
烈属	lie'shu
烈性	lie'xing
劣等	lie'deng
劣弧	lie'hu
劣迹	lie'ji
劣绅	lie'shen
劣势	lie'shi
劣质	lie'zhi
猎狗	lie'gou
猎获	lie'huo
猎枪	lie'qiang
猎取	lie'qu
猎犬	lie'quan
猎人	lie'ren
猎手	lie'shou
琳琅	lin'lang
林场	lin'chang
林带	lin'dai
林地	lin'di
林分	lin'fen
林分改造	lin'fen'gai'zao
林冠	lin'guan
林海	lin'hai
林卡	lin'ka
林立	lin'li
林龄	lin'ling
林虑山	lin'lv'shan
林木	lin'mu
林木分化	lin'mu'fen'hua
林区	lin'qu
林爽文	lin'shuang'wen
林下	lin'xia
林县	lin'xian
林相	lin'xiang
林祥谦	lin'xiang'qian
林学	lin'xue
林业	lin'ye
林业部	lin'ye'bu
林钟	lin'zhong
